Team,Week,Game,Referee,Leaderboard Points,Win_Loss,Possession_pct,Territory_pct,Attacking_Minutes,Ball_In_Play_Time,Gainline_Over_pct,Gainline_On_pct,Gainline_Lost_pct,Hitup_Efficiency_pct,Tries_Scored,Points_Scored,Ball_Carries,Ball_Carry_Meters,Line_Breaks,Line_Breaks_1st_Phase,Tackle_Breaks,Offloads,Opp_Gainline_Over_pct,Opp_Gainline_On_pct,Opp_Gainline_Lost_pct,Made_Tackle_pct,Tackles_Made,Tackles_Missed,Tackles_Attempted,Assist_Tackles,Dominant_Tackles,Line_Breaks_Conceded,Tackle_Breaks_Conceded,Offloads_Conceded,Carry_Meters_Conceded,Breakdown_Retention_pct,Breakdown_Steals,Ruck_Speed_0-3pct,Ruck_Speed_3-6pct,Ruck_Speed_6+pct,Kicks_In_Play,Carrying_22m_Exit_pct,Kicking_22m_Exit_pct,22m_Exit_Failed_pct,Kicking_Meters,Goal_Kicking_pct,Own_Scrum_Won_pct,Own_Scrum_Completion_pct,Total_Scrums,Own_Lineout_Won_pct,Lineout_Steals,Opp_Lineout_Clean_pct,Total_LO,Full_LO,Full_LO_Won,Full_LO_Lost,Full_LO_clean_pct,Full_LO_scrappy_pct,Full_LO_Lost_pct,6_Man_LO,6_Man_LO_Won,6_Man_LO_Lost,6_Man_LO_Clean_pct,6_Man_LO_Scrappy_pct,6_Man_LO_Lost_pct,5_Man_LO,5_Man_LO_Won,5_Man_LO_Lost,5_Man_LO_Clean_pct,5_Man_LO_Scrappy_pct,5_Man_LO_Lost_pct,4_Man_LO,4_Man_LO_Won,4_Man_LO_Lost,4_Man_LO_Clean_pct,4_Man_LO_Scrappy_pct,4_Man_LO_Lost_pct,3_Man_LO,3_Man_LO_Won,3_Man_LO_Lost,3_Man_LO_Clean_pct,3_Man_LO_Scrappy_pct,3_Man_LO_Lost_pct,2_Man_LO,2_an_LO_Won,2_Man_LO_Lost,2_Man_LO_Clean_pct,2_Man_LO_Scrappy_pct,2_Man_LO_Lost_pct,Quick_LO,Quick_LO_Won,Quick_LO_Lost,Quick_LO_Clean_pct,Quick_LO_Scrappy_pct,Quick_LO_Lost_pct,Own_Start_Half_Retention_pct,Own_Start_22_Retention_pct,Restarts,Long_Restarts,Short_Restart,Penalties,Tackle_Penalty,Ruck_Penalty,Scrum_Penalty,Lineout_Penalty,Offside_Penalty,Maul_Penalty,Foul_Play_Penalty,Other_Penalty,Free_Kicks,Scrum_Free_Kick,Lineout_Free_Kick
Austin Elite Rugby,1,1,Derek Summers,0,0,0.49,0.54,16.6,0:25:46,0.424,0.364,0.212,0.786,2,20,81,302,1,1,3,5,0.538,0.173,0.288,0.881,111,15,126,20,11,2,4,5,415,0.99,0,0.5,0.47,0.03,13,0.33,0.67,0,378,5-Apr,0.78,0.5,19,0.8,1,0.5,10,7,5,2,0.5,0,0.2,1,1,0,0.1,0,0,0,0,0,0,0,0,2,2,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,N/A,8,3,5,11,5,0,3,0,2,0,1,0,1,0,1
Houston SaberCats,1,1,Derek Summers,4,1,0.51,0.46,17.6,0:25:46,0.538,0.173,0.288,0.855,0,21,74,415,2,0,4,5,0.424,0.364,0.212,0.929,118,9,127,12,19,1,3,5,302,1,1,0.53,0.36,0.11,17,0.44,0.44,0.11,537,7-Jul,0.91,0.73,19,0.7,0,0.7,10,3,3,0,0.2,0.1,0,0,0,0,0,0,0,7,4,3,0.3,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,5,1,3,9,4,0,3,0,2,0,0,0,1,1,0
NOLA Gold,1,2,Scott Green,5,1,0.4588,0.4126,18.2,0:35:49,0.586,0.186,0.229,0.934,6,36,125,828,7,0,12,9,0.517,0.247,0.236,0.91,193,19,212,45,17,7,5,9,766,0.98,1,0.68,0.29,0.04,18,0.31,0.56,0.13,570,6-Mar,1,0.5,11,1,3,0.67,9,3,3,0,0.33,0,0,1,1,0,0.11,0,0,5,5,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,N/A,6,4,2,10,3,0,2,0,0,0,5,0,0,0,0
Toronto Arrows,1,2,Scott Green,,0,0.5412,0.5874,21.5,0:35:49,0.517,0.247,0.236,0.901,5,29,125,766,7,0,5,9,0.586,0.186,0.229,0.859,164,27,191,33,5,7,12,9,828,0.99,2,0.56,0.33,0.12,15,0.67,0.27,0.07,417,4-Feb,1,0.71,11,0.67,0,1,15,3,2,1,0.13,0,0.07,4,3,1,0.2,0,0.07,6,3,3,0.2,0,0.2,2,2,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,N/A,7,3,4,8,1,1,1,0,2,2,1,0,1,1,0
San Diego Legion,1,3,Paul-Henri Courbier,,0,0.4373,0.489,16.3,0:33:56,0.523,0.154,0.323,0.919,2,23,80,474,2,1,5,5,0.589,0.222,0.189,0.897,191,22,213,34,11,1,6,12,798,0.99,0,0.4,0.45,0.15,14,0.5,0.5,0,318,5-May,0.86,0.67,9,0.89,0,0.92,19,2,2,0,0.11,0,0,5,5,0,0.26,0,0,8,7,1,0.37,0,0.05,2,1,1,0.05,0,0.05,2,2,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,N/A,6,5,1,9,3,1,0,0,2,0,2,0,1,1,0
Rugby United New York,1,3,Paul-Henri Courbier,,1,0.5627,0.511,21,0:33:56,0.589,0.222,0.189,0.914,3,25,133,798,1,1,6,12,0.523,0.154,0.323,0.855,124,21,145,31,8,2,5,5,474,0.95,1,0.54,0.36,0.1,14,0.75,0.17,0.08,333,4-Mar,1,1,9,1,1,0.89,13,8,8,0,0.62,0,0,1,1,0,0.08,0,0,4,4,0,0.23,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,N/A,6,0,6,19,4,3,2,0,5,2,2,0,1,0,1
Seattle Seawolves,1,4,Pali De Luca,,1,0.4216,0.3691,17.3,0:39:19,0.699,0.11,0.192,0.888,2,20,123,842,3,0,4,16,0.593,0.154,0.253,0.835,192,38,230,53,4,4,15,7,1007,0.98,2,0.51,0.36,0.13,25,0.43,0.43,0.14,791,5-Apr,1,1,14,0.63,1,0.73,8,2,1,1,0.13,0,0.13,2,1,1,0,0.13,0.13,3,2,1,0.25,0,0.13,1,1,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,4,3,1,12,6,1,0,0,1,1,2,0,0,0,0
Rugby United New York,1,4,Pali De Luca,,0,0.5784,0.6309,23.7,0:39:19,0.593,0.154,0.253,0.925,2,18,125,1007,4,1,15,7,0.699,0.11,0.192,0.89,186,23,209,41,17,3,4,16,842,0.97,2,0.54,0.38,0.08,20,0.52,0.48,0,689,5-Mar,0.86,0.86,14,0.8,3,0.5,15,9,6,3,0.33,0.07,0.2,2,2,0,0.13,0,0,4,4,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,5,2,0,1,0,2,0,0,0,0,0,0
Austin Elite Rugby,2,5,Pablo Deluca,,0,0.4426,0.5637,14.8,0:30:36,0.675,0.15,0.175,0.933,0,9,75,584,2,2,4,12,0.474,0.192,0.333,0.94,173,11,184,38,13,1,1,6,586,0.97,3,0.48,0.33,0.2,21,0.54,0.38,0.08,578,6-Mar,0.57,0.57,13,0.56,0,0.73,9,2,0,2,0,0,0.22,4,3,1,0.11,0.22,0.11,2,2,0,0.22,0,0,1,0,1,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,5,3,2,9,3,0,2,0,1,0,2,0,1,1,0
Utah Warriors,2,5,Pablo Deluca,,1,0.5574,0.4363,18.6,0:30:36,0.474,0.192,0.333,0.904,2,17,103,586,1,1,1,6,0.675,0.15,0.175,0.93,106,8,114,17,2,2,4,12,584,0.94,2,0.54,0.34,0.12,20,0.21,0.53,0.26,811,3-Mar,1,1,13,0.82,0,0.33,11,1,0,1,0,0,0.09,3,3,0,0.27,0,0,5,4,1,0.27,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0.18,0,0,0,0,5,5,0,12,7,3,0,0,1,0,1,0,0,0,0
