Player,Game,Unit_Position,Position_Group,Position,Result,Games_Played,Minutes_Played,Meters,Involvements,Involve-Min,Meter-Involve,Positive Involvements,PosInvolv-Min,PosInvolvPct,Negative_Involvements,Live_Reload,Dead_Reload,Pass,Tips_Pass,Axe_Ball,Offload,Try_Assist,Carry,Gainline_Carry,Linebreak,Defender_Beaten,Tackle,Positive_Tackle,Neutral_Tackle,Negative_Tackle,Missed_Tackle,Attack_Ruck,Defense_Ruck,Jackal,PainInTheAss,Kick,KickOutOfHand,Conversion_Made,Penalty_Made,Turnovers_Lost,Turnovers_Won,Aerial_Take,Scrum_Involvement,Scrum_Attended,Scrum_Retained,AtkScrumPct,Lineout_Involvement,Lineout_Attended,Lineout_Retained,LineoutPct,Lineout_Stolen,Lineout_Disrupted
Aladdin Schirmer,1,Forward,Back Row,Flanker,Loss,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ata Malifa,1,Back,Flyhalf,Flyhalf,Loss,1,24,3420,14,0.58,244.3,12,0.5,0.86,2,,,3,,3,,,1,1,,,2,,2,,,1,,,,4,2,,,,,,,,,,,,,,,
Blake Rogers,1,Forward,Front Row,Prop,Loss,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blank,1,,,,Loss,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendan Daly,1,Forward,Second Row,Lock,Loss,1,70,5708,50,0.71,114.2,48,0.69,0.96,2,5,5,2,,,,,4,1,,,8,3,4,1,,11,1,,1,,,,,,,,11,6,5,0.83,15,16,13,0.81,,
Campbell Johnstone,1,Back,Center,Center,Loss,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlo DeNysschen,1,Back,Scrumhalf,Scrumhalf,Loss,1,67,6302,80,1.19,78.8,72,1.07,0.90,8,2,,62,,,1,,2,1,1,1,8,1,5,2,3,1,2,,2,1,1,,,1,,,,,,,,,,,,
Chad Gough,1,Forward,Front Row,Hooker,Loss,1,80,6523,68,0.85,95.9,59,0.74,0.87,9,7,6,22,,1,,,7,2,,,8,1,5,2,2,14,1,1,1,,,,,3,1,,13,7,5,0.71,18,15,13,0.87,,
Chad London,1,Back,Center,Center,Loss,1,56,0,17,0.3,0.0,15,0.27,0.88,2,6,1,1,,,,1,4,3,,1,4,,3,1,1,4,2,,2,,,,,,,,1,,,,,,,,,
Connor Cook,1,Forward,Back Row,Flanker,Loss,1,13,2939,9,0.69,326.6,8,0.62,0.89,1,1,,2,,,,1,,,,,,,,,,2,1,,1,,,,,1,,,3,3,3,1.00,1,1,1,1.00,,
